video_id,, ,Captions,,,
3792171,,,"The supporting music for this animation is ""Abacus"" performed by Fionn Regan. He’s a great artist so recommend checking him out.",,,
3811427,,,,,,
3921306,,,"Black Rain is sourced from images collected by the twin satellite, solar mission, STEREO. Here we see the HI (Heliospheric Imager) visual data as it tracks interplanetary space for solar wind and CME's (coronal mass ejections) heading towards Earth. Data courtesy of courtesy of the Heliospheric Imager on the NASA STEREO mission.",,,
4011089,,,"In this video great characters, modelling, animation are used.",,,
4179963,,,This video shows The journey of a young boy.,,,
4238052,,,"Impressive and stylish projections on buildings, a renewing way of communicating. For those who want to carry out a message in a striking and visually attractive way with guaranteed exposure: 3D video mapping projection on buildings is the communication tool of 2009 and what an impact!",,,
4345793,,,Sonata is an animated short film that is a simple exploration of one moment in a man's life where he faces his fears and doubts and decides whether or not to take a chance.,,,
4488258,,,"The animation is based loosely on West African tree of life myths and legends that emphasize the cyclical nature of life and the universe. In Yoruba ""Iwa"" means strength of character.",,,
4566083,,,Nicely narrated both visually and animated.,,,
4646347,,,short documentary film on paperrazzi,,,
4670828,,,This video shows how people hide there feeling under masquerade using animation .,,,
4679687,,,Muzorama is a short 3D animation film based on the universe of french illustrator Jean-Philippe Masson aka Muzo,,,
4736191,,,"CHARGED, follows the first day on the job for an energetic guy named Spark. His excitement for his new job quickly turns sour when Spark is faced with an obstacle that is almost too much for him to handle.",,,
4828084,,,this video shows monster and human side by side using animation and comedy storyline.,,,
5010187,,,It was inspired by demoscene and sub-atomic particle collision images. The name comes from the Higgs Boson prticle which is expected to provide a scientific foundation for the origin of mass in the universe.,,,
5075079,,,ROOM is a short film about 2 guys living in neighboring room and both struggling with a lack of space.,,,
5081774,,,A film about extinction.,,,
5130846,,,This video shows life of birds using great photography and videography.,,,
5142913,,,This video is beautiful illustartion of animation and bright colors.,,,
5182208,,,This video shows different cities with 360 degree human view photography.,,,
5294152,,,At last I have learnt something that is revolutionary in avant garde 21st century art/science.Your work obssesses the inner recesses of my mind.,,,
5323117,,,"In this animated short Malcolm Sutherland lovingly pokes fun at the transient yet timeless life of the beach tourist. Animated ink on paper, made in 2007.",,,
5336440,,,Two aliens try to take over the same planet.A short 3d animated film,,,
5363880,,,Motion graphics and processing work for motiongraphics course idep2009,,,
5391396,,,"Paesaggio Composto (Composed Landscape) #3"" is the third version of a video series born in 2008. ""Paesaggio Composto"" is a game of the view. It moves in a landscape that changes continuously, that reveals new looks, that regenerates new points of view.Paesaggio Composto #3"" is created compositing 70-80 analogic photographs and moved in a tridimensional space with After Effects.they belong to my collection of urban and natural landscape pictures. They are taken in Barcelona, Bilbao, San Sebastian, Berlin, Warsaw, Lerici, Florence, Rome, Perugia, Gubbio and Marina di Camerota. I used a Holga with 120 slide film. I modified them with Photoshop.This is the first time I use sounds in ""Paesaggio Composto"". Normally I show the video as a window, as a pure image. I manipulated real urban and natural sounds.",,,
5507843,,,Cg short animated film. This film was animated during my studies at SCAD under the context of a class called Short Short. It is the story of a crank toy trying to finish a race while helping and asking the aid of others.,,,
5606014,,,A hunter's obsession seals his fate in a darkly comic animated tale of man versus monster.,,,
5689083,,,"The hidden movements and melodies of street tiles.Tiles is an animation made of a large photographic collection of street tiles. By viewing this collection of photographs as a sequence, different movements and processes become visible within the frame of the tiles. Both music and animation are trying to find a balance between a thought-out arrangement and an arrangement of ‘chance’ deriving directly from the tiles.",,,
5696363,,,the cylon monologue on BSG,,,
5734105,,,"Just like modular synthesizers, people connect with each other in order to achieve diverse objectives. In Voltage, robots, half-human and half-synthesizer, powered by a huge amount of energy, connect to each other in an electric and chaotic trance.",,,
5735747,,,"a hybrid animation style that is part 2D, part 3D, and has a classic sensibility. ",,,
5862099,,,Three short videos shot with a Lensbaby Muse on a Canon EOS 5D Mark II. I think the Muse will be a useful accessory for making creative videos in the future.,,,
5993872,,,"This music video takes our viewers on a ride through the world that is ""The Cavalier"". Each band member is living in their own time and place which also happens to be the very existence of the other band members micro worlds. The band members in the video can't exist without each other just like in the really world ""The Cavalier"" wouldn't exist if the band members weren't in each others worlds at the same time.",,,
6045312,,,a lot of subliminal imagery embedded into this animation. control over such imagery in my own digital art and photos.,,,
6130123,,,"A short animation loosely based on the scientific recording of life's great species. And how this has given us clues that piece together, for us to discover the secrets of the evolution and diversity of life on Earth.",,,
6249798,,,Stop motion animation is based on photos representing every stage of making collage. Parts of the drummer’s live performance are arranged and mixed in one track.,,,
6253749,,,a film about personal space using great animation.,,,
6284497,,,animated this while taking the subway to work and to maximize on efficiency (at the cost of quality) I drew with both hands at the same time.,,,
6304310,,,"short (20-60s) videos which follow the aesthetics of my still photos but do also include some minimal element of movement. There are no camera movements, no cuts, no storylines.",,,
6459870,,,"short (20-60s) videos which follow the aesthetics of my still photos, also include some minimal element of movement.There are no camera movements, no cuts, no storylines.",,,
6493725,,,"""Metal is metal, black metal is black metal, it doesn't matter if girls or guys are handling the music, the most important thing to me is the passion behind the music itself,"" she said., the extremist has his niche metals—his death metal and his black metal and his drone metal and his vocals that sound like a man vomiting in a cathedral., the extremist has his niche metals—his death metal and his black metal and his drone metal and his vocals that sound like a man vomiting in a cathedral.",,,
6531040,,,"“It feels like it was meant to be,” Bronson said over a plate of salumi., If we didn’t see the runway, then we would have to abort the approach, a fast-paced maneuver that required several different tasks to be completed in a short period of time., But speaking to Bronson, and reading the Bulletin of Atomic Scientists’s annual briefing to accompany the Doomsday Clock announcement, I had the same thought about this being a rare opportunity to discuss these existential issues—though I’m not sure whether I shared Bronson’s positivity.",,,
6605263,,,"“A rectangle is a flat shape,” Donato tells me when I ask how she arrived at the metaphor., “From the rectangle, she downloads instructions for preparing a slick coat for the green beans and potatoes,” I heard Donato read from an in-progress novel late this spring., Teammate Will Claye captured Silver and Fabrizio Donato won Bronze.",,,
6631139,,,"Inspired by the dark things that suck in life, this is a story about a little girl taking a leap of faith in hopes of escaping the sad situations in her polluted environment for something far better...with the aid of an orange umbrella of course.",,,
6946165,,,"For 87 years, the Boston Pops orchestra has performed a free concert on the Charles River Esplanade for Independence Day., An orchestra of color: The Speaker Orchestra from Ross Ching on Vimeo., The orchestra had scheduled several massive works for the upcoming year, and walking into the orchestra hall for rehearsal without earplugs became intolerable.",,,
6954357,,,"The buzzer would sound and everyone would wail on each other for a few minutes until it sounded again, at which point we would rotate and wail on different guys., I had shot a music video in high school to a Slick Rick song, “Children’s Story,” so I sort of had a dormant music-video love that I don’t think I understood.",,,
6967158,,,"Some of the characters on a few parts were animated in 3D by IO Interactive and composited into the animation. We used a lot of analog footage as well to give the piece some texture, to make it more ""alive"".",,,
7101070,,,"Preservation Hall Recordings is proud to present a brand-new, locally produced animated music video!, the music video for the Preservation Hall / King Britt remix of “St. James Infirmary” by the Preservation Hall Hot 4 is an animated romp in the style of Max Fleischer (Betty Boop, etc.) that plays out like a storybook caper set against a backdrop of beloved New Orleans characters and institutions both old and new. Audiences familiar with the iconography of New Orleans music and culture will thrill as characters and beloved landmarks from the past and present find new life in an animated tableau.",,,
7125608,,,"Right after meeting Lisa she began touring with the Rolling Stones from 1994 and every tour since—Voodoo Lounge Tour, Bridges to Babylon Tour, No Security Tour, Licks Tour, A Bigger Bang Tour, and the Steel Wheels tour., It's unclear why people don't want to go to his tour, but it might have something to do with the fact that the tour is called ""Would You Like a Tour."" Seriously, that's the name of the tour.",,,
7338589,,,"For its FUEL TV Signature Series ID, HunterGatherer created a stop motion piece inspired by a synesthesia sort of idea, where music manifests directly as visuals. This was then executed using actual blocks of wood that were hand-cut, painted, arranged and then photographed and animated. The blocks sync to the track, and also form and reform into keyboards, mixers, and more abstract arrangements.",,,
7354877,,,"Ramona Falls is Brent Knopf's first solo venture, but he has an extensive musical resume as part of trio Menomena (an indie rock band from Portland, OR, that's snagged plaudits from such tastemakers as Pitchfork Media and the New York Times.)",,,
7422166,,,"As the sun sank over Cenderawasih Bay, the wind sent swells the color of spilled ink surging through a tangle of fishing nets, which Dove was sharing with a whale shark., It's an illuminated ring and gives fish an ""escape route,"" Ben Schiller writes, thereby subverting problems caused by trawler nets which ""gather up most of everything in their path."" The designer explains that ""one of the main problems with trawler nets is that as they are dragged, the holes get smaller, stopping younger fish from escaping."" The ring keeps a hole open and lights the way for the fish. ",,,
7671867,,,"""I totally respect the press and what the press has to do, but I wanted and was determined to have the time I needed to actually meet and listen to people."" She continued: ""Obviously I'll do more press—I did local press all along, the last three months, because again it was interesting to see what questions the local press would be asking me.""",,,
7721405,,,"Ever since people first domesticated cereal crops in the Fertile Crescent 11,000 years ago, farming has followed a seemingly immutable pattern—plow your Field, seed your Field, harvest your Field, repeat.",,,
7750452,,,"And cameras, generally, do odd things to movements as physically limited as campus movements are: Protests are helpless to the power they gain through the camera., We filmed the whole thing on green screen with a fixed camera and then I composed the scenarios, added light and camera movements in adobe after effects.What's next for you?Nyman: Next for me are more music videos and video art.",,,
7808006,,,"""Maybe one morning, walking in dry, glassy air,
I’ll turn, and see the miracle occur:
nothing at my back, the void
behind me, with a drunkard’s terror.

then, as if on a screen, trees houses hills
will suddenly collect for the usual illusion.
But it will be too late; and I’ll walk on silent
among the men who don’t look back, with my secret.""",,,
7877526,,,"The director, Lorenzo Fonda, and Blu became friends in Italy before teaming up to create the film, and in the process they developed the stop-motion style that animates Blu's street art.  In this excerpt from the film, you can see some of their very first stop-motion experiments -- drawing on windows and car windshields while on the road, animating paper cutouts, and painting on walls.",,,
7893992,,,"The piece is inspired by VR-sculptures, though technically and
conceptionally transcending the helmet-like “90ies data-glasses”.
The basic thought is to re-organise the relationship between
“the viewer and the viewed” whose traditional functions are
expanded technologically; the starting point however remains
set in “real space”.A portable screen is used to visualise the soundsculpture; a
camera attached to the screen collects information of the space
surrounding it from markers distributed on adjacent surfaces.
The screen becomes a transmitter superimposing a digital layer
-the sculpture onto “real space” (the unmanipulated space that
greets the naked eye). The process allows the viewer to abandon
the passive position of the “merely on-looking” consumer; he is
enabled to visually and acoustically intervene with the sculpture,
to model and module it. His changing positions and movements
affect the visualisations on the screen, rendering an “extended
reality” accessible. The sculpture generated is individually linked
to each observer and thus singular.",,,
8169442,,,"We used Houdini for all of the effects, Maya for modeling, Renderman Pro Server for most of the rendering, Mantra Micropoly for additional rendering, and Nuke for compositing",,,
8185966,,,You can make more words with your face than with your mouth. So you'll hear more with your eyes than you can see with your ears.,,,
8334834,,,The light line is actually a notochord—a flexible rod that forms the basis of our backbones.,,,
8337356,,,"It feels oddly like a movie set, except everybody is doing the wrong thing, like if you showed up at a Universal Studios backlot and it turned out to be a branch office of Charles Schwab.",,,
8504419,,,A short film about a boy who wishes for better things,,,
8508157,,,"This film was shot as stop-motion animation, then 'enhanced' with After Effects., The film uses plastic signboard letters to convey an epic story of man versus nature.",,,
8647893,,,A story about a fries wants to kill a bag of ketchup just for its jam.,,,
8669028,,,"These folks came to the forest and looked at every tree, but at no point did they step back and say: Wow, we have a forest full of trees.” Simons argues that the size of the forest has been greatly exaggerated., She wanders through Garamond Forest, the Zentenar Gate, the Futura City, and Shelley Lake, where she falls into the water to find her lost wing, then rises to the air revived and full of magic again.",,,
8837024,,,"Single-point linear perspective—a geometric technique that involves a rectangular grid stretching toward a central Vanishing Point—was a coup in the quest to represent three-dimensional objects on two-dimensional surfaces., Acknowledging the persistence of some unpleasant obstacles to gender equality, Mundy suggests that they are ""more likely the last artifacts of a vanishing age rather than a permanent figuration."" No, they are neither vanishing, nor permanent.",,,
8956325,,,An animated short film about a young boy in India chasing after his dream,,,
9145991,,,"""Life just have one direction: a line that goes from birth to death. The rest is embroidery.""",,,
9173975,,,The story shows a day of work in a futuristic civilization where the humanoid workforce have been biologically engineered/evolved into cubic forms to allow them to pack together more efficiently in the over-populated cities of their times.,,,
9174014,,,Personal project about stop motion story. Everything is made of papers,,,
9270751,,,"The Curse of the Evil Eye, a tale set on the high seas, about an epic battle of good against evil. The concept of this piece was to mix the two worlds of Yves and Remy. With great attention to detail, Yves created the background and models, while Remy designed the characters. They bought two model ships on eBay, which Yves shot against a blue screen. Next, he meticulously added all the elements, animated Remy's designs and composited everything together. Then, they turned to Francois Montmayeur, currently a musician at L'Opera de Lyon, to create an epic score and sound design to create a truly cinematic experience.",,,
9293509,,,"An animation can cost tens of thousands of dollars to generate, and if there is one detail that’s erroneous, the other side can say, “Hey, this doesn’t make sense!” Then the entire animation will be thrown out of court, and you’ve just flushed a lot of money down the toilet.One of the challenges of the business is that when you’re creating an animation for court, every single thing in it has to have a basis that’s defensible.",,,
9465841,,,"Daily ritual, absurd cycle... Every character follows his predecessor... Always... Indefinitely…",,,
9842293,,,"A team of explorers embark on a mission in deep space, travelling through areas no man has been before.",,,
9953368,,,"""Nature is the most elegantly designed system,"" Coleman said, going on to propose his theory that nature's ""flaws"" are actually in man's understanding of nature, not in nature herself. But what the numbers don’t tell you is that the nature of the retirements so far is anything but average.",,,
10019015,,,"Wind turbine syndrome would possibly be one, where people who live near wind farms feel like they’re getting disturbed sleep, headaches, tinnitus, nervousness, from the wind turbines.",,,
10471831,,,Meet Meline tells the story of a little girl whose curiosity is sparked by a mysterious creature as she plays in her grandparents' barn.” Meet Meline” is a 3D animated short film created independently and without any budget by Virginie Goyons and Sebastien Laban,,,
10860225,,,"Descriptive text becomes a physical construct used to manoeuvre around the environment., He’ll go over and chat, or sometimes just manoeuvre his boat with one hand on the engine, his head clear.",,,
11077331,,,An Arctic inhabitant is fascinated by the sudden appearance of a mysterious box.,,,
11160661,,,"Our most recent video illustrates YDreams’ augmented-reality platform with depth-sensing cameras. The camera used makes it possible to pinpoint the 3D position of the users (it supports multiple users) and objects in the environment, allowing for a true marker less augmented reality experience. The virtual objects added in the video stream react to the user as well as the real objects´ positions and movements.",,,
11228061,,,"7 short time-lapse videos I shot on the weekend at Wattle Point in Gippsland, Australia.",,,
11229946,,,This is a little animation I've been tinkering around with for a while. It follows a little robotic character who's just trying to grab some shut-eye but the factory around him springs to life unexpectedly. A serious design flaw in the factories ergonomics prevents the poor guy from reaching the off switch and the rest is history!,,,
11274018,,,"Generating cities or street level data previously would take weeks or months and a team of artist. cmiVFX has streamlined that process with this innovative New Houdini series of creating skeleton cities. When it comes to high end CG and VFX training, there is only once choice... cmiVFX!, This video is available today at the cmiVFX store for a Special Introductory Offer Price! Don’t forget about the cmiSubscription plan! Get one today.",,,
11305685,,,"Joshua Littman, a 12-year-old boy with Asperger’s syndrome, interviews his mother, Sarah. Joshua’s unique questions and Sarah’s loving, unguarded answers reveal a beautiful relationship that reminds us of the best—and the most challenging—parts of being a parent.",,,
11513211,,,"Our bodies don’t react as strongly to artificial light as to natural light (although, in the total absence of natural light, we’ll eventually respond to mankind’s bulbs), so a society built on electrical light results in more late chronotypes than one reliant on sunshine.",,,
11532124,,,"This was a test shot combining stop motion animation and live action footage intentionally done as a 'worst case scenario' in the sense that the live action was shot with hand held camera. Matching the movements of the puppet in concert with the live action was tricky but, I think it came off pretty well!",,,
11558102,,,"hat person told police that a “Mexican gentleman” in his late 60s outside their house was in possession of a REVOLVER and was “brandishing it at women outside.” When asked by the dispatcher about the gun, the man said, “It looked like a REVOLVER.” This was the second time police had been called to the neighborhood in a day.",,,
11584663,,,This is the story of love between human and monster,,,
11661167,,,This animated short tells of one such occasion as our hero tries to express his feelings in the only way he can...via the medium of song.,,,
11808258,,,companies did not yet worship at the altars of style and elegance.,,,
11918221,,,I recently found myself wondering what a video game might look like in the form of a stop motion animation.,,,
12049600,,,"By resisting a universal upgrade, Jake is forced to abandon either himself or his love.",,,
12069455,,,"A saint’s shrine, in England especially, was apt to be east of the high altar (thus the Confessor’s shrine at Westminster Abbey, Becket’s former shrine at Canterbury, and many, many other cases).",,,
12080669,,,high-bright LCDs accentuated by a dynamic HD resolution content package.,,,
12084231,,,"Although I have far more readers on the Acela corridor than anywhere else on the Amtrak system, and although that corridor serves the most passengers by a wide margin, I have yet to receive a story of anyone being harassed by the DEA on that route.",,,
12126649,,,"5 choreographies based on an indistinct portrait of reality, an illustration/disorder in skeptical/ distressed movements. A tableau of thoughts and illusions designed/reshaped and reconstructed as memories.",,,
12128138,,,"junior year animation at Risd. Something nice and playful, Follow little wild and the animal friends through the golden grass.",,,
12129214,,,"I did the animation entirely in flash, line and color. It is made the old-fashioned way - hand-drawn with no tweening, just reusing some of the shapes when I was too tired to redraw them. Compositing and texturing done in After Effects. I used PS and Painter every once in a while for the backgrounds but most of them are done in Flash.",,,
12198701,,,"The capture process was made with 2 Canon T2i (550D) cameras in a 3D Rig mounted, The editing was made entirely in Adobe Premiere and color correction/grading with it´s own tools., his is probably one of the firsts stereo video clips made with 2 DSLR (canon T2i) video cameras, edited in Adobe premiere.",,,
12390409,,,Chapman pointed out that what looks like variation in onomatopoeia is sometimes simply a rearranging of discrete sounds: clap clap in English becomes plec plec in Portuguese.,,,
12423997,,,"Cooked tells the story of an arctic love triangle between a Walrus, a Seal and a Lobster",,,
12672982,,,"But that chatter can also have negative ramifications for artists, who’ve found they can no longer come on late, play drunk, play sloppy, play too long, or play too short without seeing consequences.",,,
12697802,,,"Everyone in the movie—and, honestly, everyone is in this movie—plays some version of their typically, likable selves.  But the movie ultimately fell flat for me.",,,
12932882,,,"Nobody knows as many bedtime stories as the god of the dream., That evening, I told her one of the scariest, funniest, most violent bedtime stories ever.",,,
12980394,,," a series of moving sculptures that take inspiration from the great surrealists like dali and in particular his lobster telephone., tried to build intriguing objects that leave you wanting to see more., These objects are mechanical but at the same time organic in their movements.",,,
13010221,,,An insight into the human machine and it's consumption addiction.,,,
13110245,,,"You feel that you are drowning because you are drowning—or, rather, being drowned, albeit slowly and under controlled conditions and at the mercy (or otherwise) of those who are applying the pressure.",,,
13123714,,,"lumpie is my first character animation, as well as my first 3d project using blender. it´s about how the technical aspect of 3d animation can occasionally seem to sabotage it´s creator / itself. ironically, that hardly ever happens to me anymore since i am using blender.",,,
13340102,,,is a shortfilm about cinema itself. We picked 35 of our favorite movies and tried to simplifly them as far as possible. The outcome is a 2 minute journey through the history of film.,,,
13394577,,,"Eagleman, the team, and Scott Novich, a doctoral student working in Eagleman's lab, created prototypes, with the latest to be unveiled this week: The task hasn't been easy.",,,
13533846,,,"If you believe that there's a heaven and hell and people could be going to hell or not getting eternal life or whatever, and you think that it's not really worth telling them this because it would make it socially awkward....",,,
13730911,,,Just a little try.To  noticed that the second title has to much blur on it and that's adjustable in the Camera-options.,,,
13758541,,,"Significant to the layout and structure of a VJ performance, CONTINUUM is a video project
that combines the idea that the live performance and the music video viewing experiences can
be translucent of one another. In order to make this process work, a looping system was created
consisting of two steps. The first step is producing a series of short experimental video clips derived
of animated objects, geometric shapes and organic forms, and the second step is finding a similar
context between these abstract videos and looping them together. This looping system created
a final piece whose outcome can be used for two parts; a static clip based on the characteristics
of a conventional music video or a visual for a live VJ performance.",,,
13768202,,,"A camera fixed on the concrete cube sculpture recognizes the presence of human faces within its scope. With a randomized choice it will focus on one of the bystanders and adjust its movement to his; tracking the eye movements of the viewer, a software computes the corresponding angle of view projecting onto the cube the very section of the space the sculpture is blocking from the viewers eye; thus making the cube appear transparent.",,,
13794713,,,the opportunity to animate ducks getting shot in the head and celestial bear rays. I also got to use songbird sounds for a duck.,,,
13951707,,,"This film is made for parents.The story is about parents support their children to make dreams come true. No matter what happened, parents will be always waiting for their children, just like the lighthouse forever lighting for the boats.",,,
14138161,,,"And for herders, tasty domesticated animals yielded meat, eggs, and milk, while the less tasty animals pulled plows and moved soldiers.",,,
14219605,,,An armadillo lives in a perfect world that is threatened when a hunter enters the scene.,,,
14294054,,,"The architecture of the contemporary city is no longer simply about the physical space of buildings and landscape, more and more it is about the synthetic spaces created by the digital information that we collect, consume and organise; an immersive interface may become as much part of the world we inhabit as the buildings around us.",,,
14540989,,,simple story of sphere with very touching music,,,
14715111,,,"This is a 3D computer generated scene., to give you a closer look of the Classroom scene.",,,
14736551,,,"and lifestyle coverage ZEROING in on the trappings, trends, and celebrities of the tech scene.",,,
14773535,,,"An exploration in nostalgia, the “World Of Motion” is a tribute to man’s various achievements in transportation and technology.",,,
